user_id,is_synthetic
90ce7b98-5840-42ac-9c69-8c0ccadbf125,0
e68758c8-9065-41dd-831c-1ae9414fd6ca,0
71260fe4-2b0c-413b-aab2-a5dd8b91bb3f,0
d14c0854-1058-402b-9f99-cba857aa269a,0
f3e52ef1-02cc-4dd9-b695-9b2363b57096,0
f9cee354-5d85-4fa1-b7c6-112b639b82a2,0
1f10a929-b3ad-4096-9295-4c8d601f833b,1
35782d78-caab-458c-94f6-37f1a36783fd,0
a99ef420-f64b-41be-bb60-5fdd6c5196e1,0
11055f63-2b59-4a5b-a277-af67a9185501,0
457087ea-29ed-43ca-96e9-c11a1d005f0a,0
c5a0fa60-0363-4a74-8563-601a66d09370,0
f9a6da85-fb20-4f38-aaa3-9f8e06925060,0
85e2ca38-c266-47cc-8d6b-138f73c9f302,1
d64567a4-d15c-4387-ad0d-acff8197f18b,0
fb5bf53d-6001-4744-9a60-ff8dd9db93d4,0
99a614a6-69b5-4033-b358-e43a131d6519,0
02c71ec5-f50b-4996-9256-cc29878c31f9,0
8db81fdf-ece5-46f7-935e-5ff1cff3da01,0
02f2824a-c0ca-4eb6-9460-a8e25ab515e4,0
6ac45aa6-9554-441f-adfb-fd80c4b5ad4b,0
34b004e3-fa78-4971-9a97-7f801337a81e,0
22565f10-6a26-4657-bbd4-f5f3cbc7d470,0
ce59b4e6-8b5c-4c8d-aa51-dba401b7d4cd,0
6d19271b-fd25-4637-9f65-97fe84abd5b0,0
54ce67f0-efd4-450c-8e8e-27b8699a44dd,0
6c10c1ab-57a6-4e1a-bafc-b0fe709b5190,0
880ce0c3-ee5d-4e0c-ac56-4bac7e7e49db,0
6bc05609-ed80-4f6d-901f-c0f307a8fa93,0
6c3a54c9-08ff-49bf-9037-78a694f95bb3,0
6f7eedf2-42b7-4673-a23e-8689172d617f,0
25c0cfb1-0f1d-4471-a483-84b0ac85e92a,0
3a1d76e2-bcc0-4e63-897d-b6d187d17431,0
1e772dfc-c1ba-4d49-bd89-7ed0a0f26e8d,0
a042c953-d568-4468-ac1d-d4de77d0c85c,0
d2c8b36b-f1a0-4cb2-9324-e470e9fe15ed,0
db46c6c9-3706-4aca-bbd2-bddbd31399f5,0
f20db7a3-e0d0-44b6-9c7d-471c34e2a92f,0
d14465e9-0874-4d2f-bf1f-2bab10e9481a,0
6e0fb1bc-89a0-401d-a592-695ffc7f4187,0
6f90d178-0761-43b6-9eb1-b532528efc3e,0
7faea876-1f0e-4dbe-99eb-4cbfb21cae19,0
58838016-b312-4bdc-a63b-6c6f64bb6d08,0
980df27f-11ca-4690-871d-7bf2aa7ccfc0,0
91d08ab0-e9c3-41b7-a9c3-adad943fff01,0
e5036ad0-818c-4e5c-a5e3-c1f6df50fc25,1
