log_id,user_id,system_accessed,access_time,access_type,act_geo_dev_location,access_timestamp
010ddb12-3ff5-4df2-a22d-aa8a4ad0b85c,1e929531-913c-4f1f-9e70-c807fec718e5,InvestmentPortal,2025-01-03 08:09:16.000,Login,Strasbourg,2024-10-31 04:38:14.000
80e50168-cb1c-442e-9dcb-40b52c4e9f65,0aceb5ab-197c-42d7-9cbb-2fe36cb1dc74,MobileApp,2000-03-01 08:39:53.000,View,Ljubljana,2024-11-09 06:14:31.000
bc45d6cd-a7d2-407c-9ea0-10cdb82a0bf9,7ae11e50-fd98-4abc-a053-3d5d07b80bb8,MobileApp,2024-12-23 09:10:25.000,View,Sacramento,2025-03-26 20:08:49.000
8c185043-846c-44d5-a217-4e38f69bf6a7,027f6f3e-2cac-4223-9aaa-19cef289347d,MobileApp,2016-10-25 18:02:26.000,Login,Stockholm,2024-11-30 07:09:07.000
10d27100-f238-4e49-aa4d-0f870d739ee3,e4b31305-dbf2-4e86-991d-493bb803c97e,MobileApp,2024-12-02 03:01:01.000,View,Calgary,2024-06-27 13:55:41.000
675d1f90-987a-4ab1-9efe-4420bb5d1c46,80680795-7e6b-47d8-94f5-6f537710af16,InvestmentPortal,1996-06-13 12:05:03.000,Transaction,Rio de Janeiro,2025-04-11 02:31:04.000
cc4c78b7-892d-49ab-af60-2ccab45a616b,369854b9-a852-49f3-8833-9888323851e0,MobileApp,2023-04-01 16:58:45.000,Login,Strasbourg,2024-05-19 04:39:50.000
00e7d7e1-ae52-49ea-9142-b4ed45eed01d,09cfe907-ff43-41c1-8ab5-6aa7c3577438,MobileApp,2010-01-13 01:24:22.000,Login,Dallas,2024-11-18 04:18:06.000
46b1b3c9-479f-4d25-9407-e77a0b931b33,2fa5d6ae-2f9e-42cd-abe4-77e854978d65,MobileApp,2020-01-02 06:50:27.000,Login,Indianapolis,2024-10-07 22:00:05.000
18528d90-25a6-4847-bc73-79f0390a12a3,0ac0b82c-7455-4b2f-8a90-c43e05c2fb47,MobileApp,2023-04-29 14:01:39.000,Login,Halifax,2024-04-12 01:31:01.000
ac6d7aa6-06ce-459e-b9ed-bc1786b5730c,54a60421-3629-4018-9b1f-83499d2f2e99,AccountManager,2015-04-10 12:25:18.000,View,Halifax,2025-01-17 09:56:42.000
917f477c-a582-4f12-a198-3f12639af173,f0bd70e5-7ae4-441e-9ccb-d92d29c02ffe,MobileApp,2024-12-10 18:43:17.000,Login,Milwaukee,2024-11-03 21:04:40.000
1d9ebd4d-d4c7-4878-9c55-d727cbbcf8da,324181ad-f732-4dfa-8007-8d4ca8afb73b,InvestmentPortal,2012-10-08 10:41:53.000,Login,Nice,2024-12-15 02:16:33.000
f913fc0a-21e5-4204-acf7-00d6ee842c7f,0a5b9069-f744-4011-820f-6cabd1aaebca,TradeDesk,2019-05-09 05:30:51.000,DataExport,Dhaka,2024-07-04 16:22:27.000
4a7c738d-e056-408e-a763-4ebf9cc259ce,642dcfc1-78bb-4a6a-9d8c-d7c685ef60fa,MobileApp,2024-02-02 03:48:03.000,View,Sao Paulo,2024-10-06 22:17:43.000
0e43109d-b7a8-4c31-a0f1-1146f8e1de74,cb498215-08a6-4eb7-a311-0d9bc7b40f1b,MobileApp,2018-01-19 07:01:14.000,Login,Paris,2024-09-12 09:58:16.000
a16bb370-46fc-4831-8795-5ac5cfac60e7,553d3e88-a1df-4dad-be60-c7c23f10abc5,AccountManager,2006-05-22 14:44:05.000,Login,Auckland,2025-02-04 14:44:53.000
0d3862fa-9009-47e8-917f-9bdcfddf2025,91d08ab0-e9c3-41b7-a9c3-adad943fff01,AccountManager,2021-04-28 15:01:02.000,View,Tallinn,2025-02-17 01:50:23.000
